	T0_Rep1	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
DLG4_+_7120527.23-P1	2	0	1	1	0
DLGAP1_+_4454779.23-ENST00000315677.3	0	0	0	0	1
DLGAP2_+_1449557.23-ENST00000421627.2	0	0	1	0	1
DLX4_-_48046631.23-P1P2	0	1	0	0	1
DMAP1_+_44679387.23-P1P2	1	0	0	0	0
DMBT1_-_124320347.23-P1P2	0	1	0	1	0
DMRTC1B_-_71997170.23-P1P2	4	0	0	0	0
DMTN_+_21906498.23-P2	0	0	1	0	0
DMWD_-_46296105.23-P1P2	0	1	0	0	1
DNAH12_-_57530043.23-P1P2	0	0	1	0	0
DNAH14_-_225117404.23-P1P2	0	0	0	1	0
DNAH14_+_225117801.23-P1P2	3	2	3	0	1
DNAH3_+_21162094.23-P1P2	37	6	26	24	32
DNAH5_+_13944721.23-ENST00000265104.4	0	0	2	2	1
DNAH7_-_196933508.23-P1P2	1	2	2	1	0
DNAH8_-_38690702.23-P1	1	0	0	0	1
DNAH9_+_11501880.23-P1P2	0	3	0	0	0
DNAJB1_+_14629156.23-P1P2	0	0	0	1	0
DNAJB2_+_220144174.23-P1P2	2	1	0	2	1
DNAJB5_-_34989747.23-P1	0	0	0	1	0
DNAJB8_-_128182308.23-P1P2	1	2	1	4	1
DNAJC16_-_15853380.23-P1P2	0	0	0	1	0
DNAJC19_+_180707111.23-P1P2	2	0	0	0	1
DNAJC5_-_62526935.23-P1P2	1	1	0	0	1
DNAL1_-_74112139.23-P1P2	0	0	1	0	2
DNASE1L1_+_153640391.23-P2	0	1	0	0	0
DNASE2_-_12992254.23-P1P2	34	0	0	4	5
DNM1L_-_32832300.23-P1P2	0	2	2	3	0
DOC2A_+_30023561.23-P2	2	0	0	0	3
DOCK1_-_128594048.23-P1P2	1	1	0	1	0
DOCK2_+_169064297.23-P1P2	0	1	0	0	1
DOCK9_-_99629919.23-P1P2	0	0	0	1	0
DOK1_-_74781904.23-P1P2	17	0	0	0	0
DOK1_-_74782111.23-P1P2	0	0	0	1	0
DOK7_+_3465428.23-P1P2	3	1	2	2	2
DONSON_-_34960931.23-P1P2	1	0	1	0	0
DOPEY1_-_83777437.23-P1P2	0	0	1	0	3
DPM2_-_130700076.23-P1P2	0	0	1	0	0
DPP9_-_4723782.23-P1	0	1	1	1	1
DPY19L1_-_35077653.23-ENST00000310974.4	0	0	0	1	0
DPYSL3_+_146833213.23-P1P2	0	1	0	0	0
DRAM1_+_102271466.23-P1P2	0	0	1	0	0
DRAXIN_+_11751838.23-P1P2	0	0	0	0	1
DSCR4_+_39492998.23-P1P2	1	0	0	0	1
DTWD1_+_49913566.23-P1P2	1	0	0	0	1
DTX2_-_76110428.23-P1P2	2	0	0	0	2
DUOXA1_-_45421584.23-P1P2	0	2	1	0	0
DUSP14_+_35850061.23-P1	0	0	1	0	0
DUSP18_+_31063779.23-P1P2	0	0	0	0	1
DUSP18_+_31063837.23-P1P2	1	0	0	3	0
DUSP2_+_96811110.23-P1P2	1	0	0	0	0
DUSP26_+_33457110.23-P1P2	0	0	0	1	0
DUSP8_+_1593493.23-P1P2	0	0	0	2	1
DUSP9_-_152913031.23-P1	1	0	0	0	0
DUSP9_+_152907926.23-P2	1	0	0	0	0
DUSP9_+_152912690.23-P1	3	0	0	0	0
DVL1_-_1284394.23-P1P2	0	0	1	0	0
DYNC1LI1_-_32611938.23-P1P2	0	0	0	0	2
DYNLL1_-_120933894.23-P1P2	0	0	0	1	0
DYTN_-_207583099.23-ENST00000452335.2	0	1	1	1	0
DZANK1_+_18447306.23-P1P2	1	0	0	0	0
E4F1_+_2274075.23-P1P2	0	1	0	0	0
EBF1_-_158526138.23-P1P2	0	1	0	0	0
EBF2_-_25902854.23-P1P2	2	0	1	0	1
EBP_+_48382166.23-P1	0	1	0	0	0
ECD_-_74927732.23-P1P2	0	0	0	0	1
ECHDC3_+_11784458.23-P1P2	1	0	2	1	1
ECI2_+_4135775.23-P1P2	0	0	1	0	0
ECT2_-_172468587.23-P1P2	0	0	0	1	0
EDC4_+_67907387.23-P1P2	0	0	1	0	0
EDEM1_-_5229417.23-P1P2	0	1	0	3	0
EEF1A1_-_74230714.23-P1P2	0	0	0	2	0
EFCAB4A_+_830461.23-P1P2	0	1	2	0	0
EFNA1_+_155100406.23-P1P2	0	1	0	1	0
EFNA2_+_1286604.23-P1P2	0	0	1	2	3
EFNA5_-_107006356.23-ENST00000333274.6	1	0	0	1	1
EFNB2_-_107187363.23-P1P2	0	0	0	0	1
EFS_+_23834326.23-P1P2	0	0	1	0	0
EGFL6_+_13588115.23-P1P2	2	0	0	1	0
EGFL7_+_139560702.23-P2	1	0	1	0	1
EGFLAM_+_38258707.23-ENST00000322350.5	0	0	0	1	0
EGR4_+_73520652.23-P1P2	1	0	0	0	0
EHBP1_+_62933287.23-P1P2	0	1	2	1	3
EHD3_+_31457431.23-P1P2	2	1	0	1	2
EHD4_-_42264508.23-P1P2	0	3	0	2	0
EIF1_+_39845185.23-P1P2	0	0	0	1	0
EIF2AK2_+_37383698.23-P1P2	1	0	0	0	0
EIF2AK4_-_40226368.23-P1P2	0	0	1	0	0
EIF2S3_+_24073421.23-P1P2	3	3	1	4	1
EIF3H_+_117767675.23-P1P2	0	0	0	2	0
EIF4G3_-_21503138.23-P1	2	4	3	1	0
EIF4H_-_73588899.23-P1P2	1	1	1	2	0
ELAC1_-_48494513.23-P1P2	0	0	0	0	1
ELF2_-_140098340.23-P1P2	6	9	7	6	5
ELK1_-_47509918.23-P1P2	2	1	0	0	0
ELMOD3_+_85582325.23-P1P2	0	1	2	0	0
ELOVL1_-_43833651.23-P1P2	0	0	1	0	0
ELOVL2_-_11044169.23-P1P2	2	0	0	0	1
ELP5_-_7156190.23-P1P2	2	2	3	3	3
EMC7_+_34393875.23-P1P2	0	0	0	0	1
EMC9_-_24610740.23-P1P2	1	3	3	1	2
EMILIN1_-_27301546.23-P1P2	0	2	3	2	1
EMILIN2_-_2847017.23-P1P2	0	0	0	1	0
EML2_-_46148185.23-P2	0	6	2	5	1
EMP1_-_13349703.23-P1P2	0	0	1	0	0
EMP1_+_13349798.23-P1P2	1	0	0	1	1
EMR2_+_14889349.23-P2	0	0	0	1	0
ENO3_-_4852067.23-P2	0	0	0	1	0
ENPP1_-_132129188.23-P1P2	0	0	0	0	1
ENSA_+_150602083.23-P1P2	1	0	0	0	0
ENTPD8_-_140335728.23-P1P2	1	0	0	1	0
EPAS1_+_46524594.23-P1P2	0	0	0	1	0
EPB41L4A_+_111754881.23-P1P2	0	0	1	0	1
EPB41L5_+_120770657.23-P1P2	0	0	1	1	0
EPCAM_-_47596811.23-P1P2	0	2	4	2	2
EPHA2_+_16482159.23-P1P2	6	7	8	2	1
EPHA8_-_22890011.23-P1P2	3	1	1	1	1
EPHB2_-_23037808.23-P1P2	2	2	2	0	0
EPHB6_+_142552855.23-P1P2	0	2	1	2	1
EPHX1_+_225997863.23-P1P2	0	0	0	1	0
EPN3_-_48610534.23-P1	0	2	0	1	1
EPPK1_+_144952201.23-P1P2	1	3	1	1	5
EPS15_+_51984869.23-P1P2	0	0	1	0	0
EPS15L1_+_16582752.23-P1P2	0	1	0	0	1
EPS8L3_-_110306131.23-P1P2	1	1	0	0	0
EPX_-_56270118.23-P1P2	0	1	0	0	0
EPX_-_56270137.23-P1P2	0	0	0	0	1
EQTN_-_27297025.23-P1P2	1	1	0	0	0
ERAP2_-_96212571.23-P1P2	0	0	1	0	0
ERBB3_+_56474016.23-P1P2	1	0	2	2	2
ERC1_+_1100477.23-P1P2	0	1	0	0	0
ERF_-_42758894.23-P1P2	0	1	0	1	0
ERG_+_39870280.23-P1	1	0	0	0	0
ERLEC1_-_54014243.23-P1P2	0	1	0	0	0
ERLIN1_+_101945741.23-P1P2	0	1	1	1	0
ERLIN2_-_37594575.23-P1P2	2	1	0	1	0
ERLIN2_+_37594210.23-P1P2	0	3	0	0	0
ERMARD_-_170151759.23-P1P2	2	0	0	0	1
ERRFI1_+_8086315.23-P1P2	0	0	1	1	0
ERVV-1_-_53517163.23-P1P2	1	0	1	2	2
ESF1_+_13763140.23-P2	1	0	0	1	0
ESF1_+_13763415.23-P2	1	0	0	0	0
ESF1_+_13765535.23-P1	1	0	0	0	0
ESM1_-_54281030.23-P1P2	1	0	0	1	1
ESPNL_+_239036084.23-P2	0	1	0	0	0
ESRP2_-_68269984.23-P1P2	0	1	0	0	1
ESYT1_-_56522098.23-P1	0	1	0	0	0
ESYT2_-_158622171.23-P1P2	0	0	0	1	1
ETAA1_+_67624518.23-P1P2	4	2	0	6	2
ETNK2_+_204121162.23-P1P2	0	2	3	1	0
ETV4_+_41623633.23-P1P2	0	0	0	0	1
ETV5_-_185826845.23-P1P2	1	0	0	1	1
ETV7_-_36355046.23-P1P2	1	0	0	0	0
EVC_-_5713304.23-P1P2	0	0	1	1	0
EVC2_-_5710269.23-P1P2	0	1	1	0	1
EXOC3_+_443710.23-P1P2	0	0	1	1	0
EXOG_+_38537884.23-P1P2	1	0	3	1	1
EXOG_+_38538155.23-P1P2	2	0	0	1	1
EXOSC1_-_99205715.23-P1P2	0	0	1	0	0
EXOSC7_-_45017725.23-P1P2	24	0	0	2	0
EXPH5_+_108464378.23-P1P2	2	0	3	1	1
EXTL1_-_26348629.23-P1P2	0	1	0	0	0
F13B_-_197036361.23-P1P2	0	0	2	1	0
F7_-_113760133.23-P1P2	1	0	1	0	0
FAAH_-_46860266.23-P1P2	1	0	0	0	0
FAAH2_-_57313322.23-P1P2	0	1	0	0	0
FAAH2_+_57313534.23-P1P2	0	1	1	0	1
FABP12_-_82443622.23-ENST00000360464.4	0	0	1	0	1
FABP3_+_31845465.23-P1P2	1	0	0	0	0
FABP6_+_159640693.23-P1P2	0	0	0	0	1
FAM102A_+_130743255.23-P1P2	0	0	0	1	0
FAM103A1_+_83655386.23-P1P2	0	1	1	0	0
FAM107B_-_14646347.23-P1	0	0	0	0	1
FAM109A_-_111806473.23-P1P2	0	0	0	2	1
FAM111A_-_58910353.23-P2	1	0	0	0	0
FAM111B_+_58874761.23-P1P2	0	0	1	1	1
FAM114A1_-_38869902.23-P1P2	1	0	0	0	0
FAM118A_-_45705996.23-P1P2	1	0	0	0	0
FAM118B_+_126081483.23-P1P2	0	1	1	1	0
FAM122B_+_133931189.23-P1P2	1	1	0	0	0
FAM126B_-_201935947.23-P1P2	1	1	2	0	0
FAM129A_-_184943553.23-P1P2	0	0	1	0	0
FAM129C_-_17638101.23-P1P2	1	0	1	0	1
FAM129C_-_17638309.23-P1P2	2	5	1	3	2
FAM135A_-_71123590.23-P1P2	0	0	1	0	0
FAM150A_-_53477916.23-P1P2	0	0	0	0	1
FAM154A_+_19032776.23-P1P2	0	0	0	2	0
FAM155B_-_68725135.23-ENST00000252338.4	0	0	0	1	2
FAM156B_-_52928455.23-ENST00000509613.1	0	1	0	0	0
FAM156B_+_52928014.23-ENST00000416841.2	1	1	4	1	0
FAM161A_+_62081105.23-P1P2	4	1	2	4	1
FAM162A_+_122103454.23-P1P2	0	1	2	0	0
FAM163B_-_136451130.23-P2	0	0	0	0	1
FAM163B_-_136451133.23-P2	1	0	0	0	0
FAM166B_+_35563821.23-P1P2	0	0	1	1	0
FAM171A2_+_42440769.23-P1P2	1	1	0	0	0
FAM173B_+_10249974.23-P1P2	1	0	0	0	2
FAM175B_-_126490849.23-P1P2	0	0	0	0	1
FAM179B_-_45431449.23-P1P2	0	1	0	0	1
FAM179B_+_45431468.23-P1P2	1	0	0	0	0
FAM183A_-_43613609.23-P1P2	0	0	1	0	0
FAM188B_-_30811089.23-P1P2	0	1	0	0	1
FAM193B_-_176981117.23-P1P2	0	0	0	0	1
FAM194B_+_46189812.23-P1P2	0	0	1	3	1
FAM195B_-_79790966.23-P1P2	1	0	0	0	0
FAM198B_+_159093480.23-P1P2	1	0	1	0	1
FAM199X_-_103411253.23-P1P2	1	0	0	0	0
FAM19A1_-_68053473.23-P1P2	0	0	1	1	0
FAM200A_+_99156139.23-P2	1	0	0	0	1
FAM200B_+_15683473.23-P1P2	0	0	0	0	2
FAM206A_-_111696707.23-P1P2	0	1	1	0	0
FAM209B_+_55100266.23-P1P2	0	1	0	0	0
FAM214B_-_35111391.23-P2	1	0	1	0	0
FAM219B_+_75199128.23-P1P2	1	1	1	0	0
FAM221A_-_23719865.23-P1P2	0	0	0	0	1
FAM222A_+_110152028.23-P1P2	1	1	0	0	0
FAM222B_-_27169350.23-P1	2	0	0	3	2
FAM25E_+_46312976.23-ENST00000411791.3	1	1	1	1	0
FAM3A_+_153744502.23-P1P2	1	0	0	0	0
FAM3D_-_58643455.23-P1	0	0	1	0	0
FAM3D_+_58652457.23-P2	0	0	0	0	1
FAM46B_+_27339008.23-P1P2	1	0	0	0	1
FAM46D_-_79590903.23-P1P2	0	0	2	1	0
FAM50B_-_3850061.23-P1P2	0	1	0	0	0
FAM53B_+_126432873.23-P1P2	0	1	1	0	0
FAM69A_+_93426982.23-P1P2	0	1	1	0	1
FAM72B_-_120839489.23-ENST00000369390.3	2	0	0	1	0
FAM81B_+_94728547.23-P1P2	1	0	0	0	1
FAM89B_-_65340103.23-P1P2	1	1	0	1	1
FAM90A1_+_8380079.23-ENST00000307435.6,ENST00000538603.1	2	0	0	0	0
FAM92A1_+_94713236.23-P1P2	2	2	0	0	2
FAM9B_-_9001103.23-ENST00000428477.1	0	0	0	1	0
FAM9B_+_9001772.23-ENST00000327220.5	1	0	1	0	0
FAM9C_+_13062707.23-P1P2	0	0	1	0	0
FANCA_-_89883024.23-P1P2	0	0	0	0	1
FARSB_+_223521061.23-P1P2	1	0	0	0	0
FASN_-_80055832.23-P1P2	0	0	1	0	0
FASTK_-_150777855.23-P1P2	8	3	2	6	3
FASTK_+_150777860.23-P1P2	1	0	0	0	1
FASTKD1_+_170430086.23-P1P2	0	0	0	2	1
FASTKD1_+_170430105.23-P1P2	3	0	0	1	2
FASTKD3_-_7868935.23-P1P2	2	0	0	1	0
FASTKD5_+_3140441.23-P1P2	0	1	1	0	0
FAT1_+_187647774.23-P1	0	0	0	0	1
FBXL14_-_1703695.23-P1P2	3	0	0	1	0
FBXL14_+_1703724.23-P1P2	0	1	0	0	0
FBXL18_-_5552979.23-P1P2	0	1	0	0	0
FBXL19_-_30935289.23-P1P2	1	1	4	1	0
FBXL19_+_30934952.23-P1P2	1	1	3	4	4
FBXL5_+_15683165.23-P2	1	0	0	0	0
FBXL6_-_145582118.23-P1P2	1	0	1	0	0
FBXO27_+_39522862.23-P1P2	1	0	0	1	0
FBXO31_-_87417017.23-P1	1	3	3	2	4
FBXO31_+_87425674.23-P2	1	0	1	2	0
FBXO4_+_41925785.23-P1P2	2	0	2	1	1
FBXO41_-_73511195.23-P1P2	0	0	1	0	0
FBXO43_+_101157643.23-P1P2	0	1	0	0	0
FBXO43_+_101157998.23-P1P2	2	0	1	4	2
FBXO46_+_46234126.23-P1P2	1	0	0	0	0
FBXW11_-_171433232.23-P1P2	3	0	0	0	0
FBXW7_-_153332498.23-ENST00000603841.1	0	0	0	1	0
FCER2_+_7764322.23-P2	0	0	1	0	1
FCGR3A_-_161519350.23-P1P2	0	1	0	4	1
FCN1_+_137809726.23-P1P2	0	0	0	1	0
FEV_+_219849581.23-P1P2	1	0	0	0	1
FEV_+_219849683.23-P1P2	0	0	1	0	0
FGF2_-_123747891.23-P1P2	2	0	0	0	1
FGF8_-_103535459.23-P1P2	1	0	0	0	1
FGFBP3_-_93668816.23-P1P2	0	1	1	1	0
FGFR1OP_+_167413231.23-P1P2	2	0	1	1	2
FGFR3_-_1795030.23-P1P2	0	2	0	3	1
FGR_+_27961627.23-P1P2	2	2	1	4	3
FHAD1_+_15574135.23-P1P2	1	3	1	1	0
FHOD3_+_33877714.23-P1P2	0	0	0	0	1
FICD_-_108909138.23-P1P2	1	0	0	0	0
FIG4_-_110012510.23-P1P2	0	1	0	0	0
FITM1_-_24600826.23-P1P2	0	0	0	0	1
FKBP10_-_39969472.23-P1P2	2	5	3	3	1
FKBP10_+_39969632.23-P1P2	0	1	0	0	0
FKBP2_+_64008570.23-P1P2	8	1	2	2	2
FKBP6_+_72742196.23-P1P2	0	0	0	1	0
FKRP_+_47249547.23-P1P2	1	0	1	0	1
FLCN_+_17140408.23-P1P2	0	0	0	1	1
FLI1_-_128564479.23-P1P2	0	0	1	0	1
FLI1_-_128564498.23-P1P2	0	0	0	1	0
FLNC_-_128470575.23-P1P2	0	0	0	1	1
FLOT2_-_27224295.23-P1P2	0	0	0	1	0
FLOT2_-_27224352.23-P1P2	0	0	1	0	2
FMNL1_+_43299278.23-P1P2	0	0	0	0	1
FMNL2_-_153191781.23-P1P2	0	0	2	1	0
FMNL2_-_153192121.23-P1P2	1	0	0	0	0
FMO4_+_171283315.23-P1P2	7	0	0	2	0
FMR1NB_+_147063286.23-P1P2	0	1	0	0	1
FN1_+_216300745.23-P1P2	0	1	0	1	0
FNDC4_+_27717691.23-P1P2	0	0	1	0	0
FNDC4_+_27718056.23-P1P2	1	2	1	0	0
FNDC8_-_33448691.23-P1P2	0	1	0	0	0
FNIP1_+_131132641.23-P1P2	0	1	0	1	0
FOCAD_-_20715369.23-P1P2	2	1	2	0	2
FOSL1_-_65667433.23-P1P2	0	1	0	0	0
FOXB2_-_79634820.23-ENST00000376708.1	1	0	0	1	0
FOXC2_-_86600914.23-P1P2	1	0	0	0	0
FOXD4L1_+_114256778.23-ENST00000306507.5	1692	1723	2447	1958	2150
FOXE3_+_47882015.23-P1P2	0	1	1	0	1
FOXG1_+_29236006.23-P1P2	1	0	0	1	1
FOXJ3_-_42800811.23-P1P2	3	5	4	8	4
FOXL2_+_138665897.23-P1P2	0	0	0	0	1
FOXO6_-_41827541.23-P1P2	1	0	0	3	2
FOXP1_+_71633100.23-ENST00000318789.4	2	1	1	1	0
FRA10AC1_+_95462144.23-P1P2	0	0	0	1	0
FRG1_-_190862230.23-P1P2	1	0	0	0	0
FRMD4A_-_13900920.23-ENST00000358621.4	1	1	1	1	0
FRS2_+_69864576.23-P1P2	0	0	0	1	0
FSBP_-_95448916.23-ENST00000481490.2	0	0	0	1	0
FSCN1_-_5632493.23-P1	0	0	0	0	1
FSCN3_-_127233859.23-P1P2	1	0	0	1	0
FSCN3_+_127233840.23-P1P2	0	2	2	1	2
FSHR_-_49381691.23-P1P2	0	0	0	0	1
FTMT_-_121187619.23-P1P2	0	0	1	0	0
FUOM_+_135171494.23-P1P2	0	0	1	0	0
FURIN_-_91411855.23-P1	1	0	0	2	1
FUT10_+_33330631.23-P1P2	0	0	1	0	0
FUT9_+_96464258.23-P1P2	1	0	0	0	0
FXYD1_+_35629788.23-P1P2	1	1	0	0	2
FXYD3_-_35607602.23-P1P2	0	4	1	1	1
FXYD6-FXYD2_+_117747421.23-P1P2	0	1	0	0	1
FYB_+_39219578.23-P1	0	1	2	1	0
FZD3_-_28351792.23-P1P2	0	0	0	0	1
G6PC3_+_42148290.23-P1P2	0	1	0	3	0
GABARAPL1_-_10365835.23-P1P2	1	1	0	1	1
GABARAPL2_+_75600802.23-P1P2	0	1	0	0	0
GABBR2_+_101470820.23-P1P2	0	1	0	0	0
GABPB2_+_151043248.23-P1P2	2	2	2	2	1
GABRA4_-_46995086.23-P1P2	0	0	1	1	1
GABRB3_+_27018151.23-P1P2	1	7	3	5	1
GABRG3_+_27216363.23-P1P2	1	3	1	2	2
GABRR3_+_97754091.23-P1P2	2	0	0	2	0
GADD45A_-_68150887.23-P1P2	2	0	0	0	1
GADD45G_-_92219943.23-P1P2	0	1	0	0	0
GADD45GIP1_+_13068019.23-P1P2	0	1	0	2	0
GAL3ST2_+_242716735.23-P1P2	0	0	1	0	0
GALK1_+_73761090.23-P1P2	0	0	1	0	2
GALNT18_+_11643152.23-P1P2	0	1	0	0	0
GALNTL6_+_172734621.23-P1P2	1	0	0	0	0
GAPDH_-_6647601.23-P2	1	0	0	0	0
GAREM_+_30050583.23-P1P2	1	0	0	0	0
GAREML_-_26396407.23-P2	0	0	1	0	1
GAREML_+_26396176.23-P2	0	0	0	1	0
GAS2_+_22688063.23-ENST00000454584.2	0	0	2	1	1
GAS2L1_+_29703459.23-P1P2	0	0	0	1	1
GAS6_-_114567005.23-P1P2	1	0	0	1	0
GAS8_-_90086078.23-P2	1	0	0	0	0
GATA2_-_128211636.23-P1	0	1	0	0	0
GATA5_-_61050862.23-P1P2	4	0	5	4	4
GATAD1_+_92076945.23-P1P2	0	1	0	0	0
GATAD2A_-_19496795.23-P2	2	0	0	0	0
GATS_-_99869779.23-P1P2	0	1	1	0	1
GBA2_+_35748959.23-P1P2	0	0	0	0	1
GBAS_-_56032720.23-P1P2	0	0	1	0	0
GBP7_+_89641466.23-P1P2	3	2	0	0	0
GBX1_-_150864304.23-P1	0	0	0	0	1
GBX2_+_237076949.23-P1P2	1	0	0	0	0
GCGR_+_79762359.23-P1P2	2	3	3	3	3
GCH1_-_55369495.23-P1P2	0	0	0	0	1
GCK_-_44228603.23-P1P2	3	1	1	2	3
GCK_+_44229021.23-P1P2	1	4	2	0	1
GCSH_-_81129970.23-P1P2	1	0	0	0	0
GDAP1L1_+_42876407.23-P1P2	0	0	0	0	1
GDE1_-_19533421.23-P1P2	0	0	0	0	1
GDF3_+_7848146.23-P1P2	0	0	0	0	1
GDNF-AS1_+_37840559.23-ENST00000503382.2	0	1	1	0	0
GDNF-AS1_+_37870121.23-ENST00000514532.2	0	1	1	0	0
GEMIN6_-_39005774.23-P1P2	0	0	0	1	0
GEMIN8_-_14047987.23-P1P2	1	0	0	1	0
GGA1_+_38005119.23-P1P2	0	0	0	0	2
GGA2_+_23521740.23-P1P2	0	1	0	0	2
GGACT_+_101240988.23-P1P2	1	1	2	3	0
GGT2_+_21581532.23-ENST00000401924.1	0	0	0	1	0
GH2_+_61958942.23-P1P2	0	0	1	0	1
GHDC_-_40346507.23-P1P2	0	0	0	1	0
GHITM_-_85899327.23-P1P2	1	0	0	0	0
GID8_+_61569497.23-P1P2	0	0	0	0	1
GIMAP7_-_150212465.23-P1P2	1	0	0	0	0
GIPC1_+_14606899.23-P1P2	0	0	0	0	1
GIPC3_-_3585755.23-P1P2	0	1	1	1	0
GJB6_-_20805039.23-P2	0	0	2	0	0
GKN2_-_69180007.23-P1P2	1	0	0	3	2
GLE1_-_131267053.23-P1P2	0	0	0	0	1
GLI1_-_57853581.23-P1P2	0	0	0	1	0
GLI2_+_121555262.23-ENST00000361492.4	2	2	0	1	0
GLIS3_+_4299533.23-P1P2	1	2	2	1	1
GLP1R_+_39016576.23-P1P2	1	0	1	0	0
GLRX_-_95158301.23-P1P2	0	1	0	2	0
GLRX3_-_131935042.23-P1P2	1	0	0	0	0
GMDS_-_2245355.23-P1P2	1	0	0	2	0
GMDS_-_2245815.23-P1P2	0	0	1	0	0
GMEB1_-_28995643.23-P1P2	0	0	1	0	0
GMEB2_-_62258086.23-P1P2	0	0	0	1	2
GMEB2_-_62258246.23-P1P2	0	1	0	0	0
GML_+_143916677.23-P2	1	2	1	1	0
GMNN_+_24775663.23-P1P2	0	0	0	1	1
GMPPA_-_220363630.23-P1P2	0	0	0	0	1
GMPR2_-_24702160.23-P1P2	0	1	0	1	0
GNA12_+_2883923.23-P1P2	1	0	0	0	0
GNA15_-_3136309.23-P1P2	1	0	0	2	0
GNAI2_+_50273713.23-P1P2	2	1	1	0	1
GNAI2_+_50274074.23-P1P2	0	1	1	1	0
GNAZ_-_23413104.23-P1P2	5	3	0	4	3
GNB1_+_1821866.23-P1P2	0	0	1	0	0
GNE_-_36258002.23-P1P2	1	2	0	0	2
GNG3_-_62475224.23-P1P2	1	0	0	0	0
GNG3_-_62475827.23-P1P2	0	0	1	0	0
GNG5_-_84972276.23-P1P2	0	0	1	1	0
GNG7_+_2702636.23-P1P2	0	0	2	0	0
GNL1_-_30524084.23-P1P2	0	0	0	0	1
GNLY_+_85921534.23-P1P2	0	2	0	0	0
GNPDA1_-_141392562.23-P1P2	0	0	2	1	2
GNPDA1_+_141392550.23-P1P2	1	0	0	0	0
GNPNAT1_-_53258297.23-P1P2	1	7	5	2	0
GNPNAT1_-_53258358.23-P1P2	0	0	0	1	0
GOLGA2_-_131037816.23-P1P2	0	0	0	1	1
GOLGA2_-_131037836.23-P1P2	0	1	0	1	0
GOLGA4_-_37285183.23-P1P2	1	0	0	2	1
GOLGA6L2_-_23692160.23-P1P2	1	0	0	0	0
GOLT1B_-_21655011.23-P1P2	0	0	1	0	1
GON4L_+_155829093.23-P2	0	0	0	1	0
GORAB_-_170501723.23-P1P2	1	1	0	0	0
GOT2_-_58767684.23-P1P2	1	2	1	1	0
GPAM_+_113943114.23-P1P2	1	1	1	2	2
GPAT2_+_96701525.23-ENST00000434632.1	1	1	1	0	0
GPATCH3_-_27226873.23-P1P2	0	1	0	0	0
GPBP1_+_56470335.23-P1P2	0	0	0	0	3
GPBP1L1_-_46152228.23-P1P2	0	0	0	0	1
GPBP1L1_+_46151790.23-P1P2	0	0	0	0	2
GPCPD1_-_5591550.23-P1P2	1	0	1	0	0
GPD1L_-_32148092.23-P1P2	0	0	1	0	0
GPIHBP1_-_144295512.23-P1P2	13	0	1	1	0
GPN1_+_27852134.23-P1P2	1	0	0	0	0
GPN2_-_27216715.23-P1P2	0	0	0	0	1
GPR1_-_207078105.23-P1P2	0	0	0	1	1
GPR110_-_47009665.23-P1P2	0	1	1	2	3
GPR116_+_46889658.23-P2	0	1	0	0	1
GPR12_-_27334505.23-P1P2	2	0	0	1	2
GPR135_-_59932013.23-P1P2	0	1	1	0	0
GPR144_+_127215861.23-P1P2	1	0	0	0	0
GPR151_-_145895298.23-ENST00000311104.2	0	2	0	3	0
GPR153_+_6321132.23-P1P2	1	0	1	0	3
GPR161_-_168105678.23-P1P2	0	0	0	0	1
GPR3_-_27719616.23-P1P2	2	3	2	1	2
GPR33_-_31957023.23-P1P2	1	0	0	0	0
GPR33_+_31957122.23-P1P2	1	0	0	0	0
GPR35_+_241565002.23-P1	1	2	1	1	0
GPR6_+_110299951.23-P1P2	1	1	0	0	0
GPR62_+_51989936.23-P1P2	0	1	0	0	0
GPRASP1_-_101906830.23-P1P2	1	0	0	0	1
GPRASP1_+_101906671.23-P1P2	0	2	0	0	0
GPRC5B_-_19896112.23-P1P2	0	0	0	1	0
GPRIN1_+_176036740.23-P1P2	0	0	1	0	0
GPS1_-_80009791.23-P1P2	0	1	0	0	1
GPS2_+_7218235.23-P1P2	0	0	1	0	0
GPX1_-_49395761.23-P1P2	0	0	0	1	0
GRB10_+_50850377.23-P2	1	1	0	0	0
GRB7_+_37894618.23-P1P2	2	4	1	1	1
GREM1_+_33010245.23-P1P2	1	0	0	0	0
GRHPR_+_37430177.23-P2	0	1	0	0	0
GRIA2_+_158141968.23-P1P2	2	1	3	3	0
GRID1_-_88126110.23-P1P2	0	1	0	1	1
GRID2IP_-_6570796.23-P1	2	0	0	0	0
GRIK1_+_31311905.23-P1P2	1	0	1	1	1
GRIN1_+_140033612.23-P1P2	0	0	0	1	1
GRIN2B_-_14133316.23-P1P2	0	1	0	0	0
GRK1_-_114321565.23-P1P2	1	2	2	0	0
GRM4_+_34113795.23-P2	1	1	1	1	2
GSC2_-_19137365.23-P1P2	0	0	2	1	0
GSC2_-_19137766.23-P1P2	0	0	0	1	0
GSDMB_-_38074388.23-P1P2	0	0	0	2	0
GSDMD_+_144640972.23-P1P2	0	0	0	1	0
GSR_-_30585038.23-P1P2	3	4	6	7	2
GSTA1_+_52668603.23-P1P2	0	1	0	1	0
GSTA2_+_52627787.23-P1P2	0	0	2	0	0
GSTM1_+_110230876.23-P1P2	0	0	0	1	1
GSTM2_-_110210792.23-P1	0	0	0	2	0
